ID,PPDE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
ENSG00000178573_MAF,0.999983471,5.166978972,14.18877954,1.730980768,0,55.01193488,86.78482217,61.75732473,46.33478531,55.47058664,493.2281741,116.5484464,19.7400886,96.32403784,93.54382376,128.1150725,44.25522086
ENSG00000136273_HUS1,0.99998343,26.51129938,20.28319817,12.6996289,17.91724345,8.822668801,18.11161506,15.00261867,5.148309479,2.80154478,0,2.91371116,13.16005907,9.588818247,1.834192623,1.941137462,18.96652323
ENSG00000068024_HDAC4,0.999983094,0.469725361,0,0,8.431643979,3.113883106,0,0.441123748,3.088985687,6.723707472,109.3362948,0.582742232,13.16005907,4.794409123,56.85997131,11.64682477,12.64434882
ENSG00000179583_CIITA,0.999981902,13.87098991,0.770248032,4.062034869,30.01665256,5.708785695,10.02176033,0,3.088985687,48.83092551,389.0428337,0,0,6.263241736,11.00515574,0,6.322174409
ENSG00000174004_NRROS,0.99998185,0,0,0,2.107910995,0,0,0,1.029661896,9.525252252,0,0,26.32011814,1.307566125,12.83934836,4.65872991,18.96652323
ENSG00000184588_PDE4B,0.999981418,60.12484622,74.99783469,136.1704871,102.2336832,98.60629836,33.95927824,123.5146495,53.54241858,113.1824091,799.3697994,50.11583196,217.1409746,2.615132249,31.18127459,6.988094864,12.64434882
ENSG00000060982_BCAT1,0.999979275,1.409176083,0,0.576993589,2.107910995,10.89340107,0.754650628,8.381351213,3.088985687,29.13606571,0,1.748226696,0,25.71110856,34.84965983,63.28108127,37.93304645
ENSG00000122694_GLIPR2,0.999978917,13.15231011,16.21574804,39.81255767,29.51075392,4.670824659,0.754650628,0,2.059323791,1.680926868,0,4.661937857,19.7400886,1.307566125,0,6.988094864,0
ENSG00000102755_FLT1,0.999978815,0,3.378280842,0,1.053955497,0,0,0,1.029661896,0.537896598,2.502586302,0,5.724625695,0,0,21.63980043,0
ENSG00000254996_ANKHD1-EIF4EBP3,0.999978643,0,1.790488846,0.121168654,0,0,6.905053243,0,1.029661896,15.66623841,0,0,5.000822446,18.85074496,0,10.00074021,6.575061385
ENSG00000258659_TRIM34,0.999978522,7.055274923,0,45.00549997,7.377688481,0.518980518,0,1.318960007,4.118647583,0,0,4.661937857,13.16005907,2.615132249,0,0,0
ENSG00000166822_TMEM170A,0.999978333,26.33280374,15.9589987,26.58209466,15.96742578,13.84121041,14.42137349,23.47219463,19.23408421,8.135686041,0,0,20.06909008,7.248274884,1.834192623,12.80762498,6.322174409
ENSG00000048028_USP28,0.999978097,0.469725361,0,0,0,7.784707765,0,8.822474961,3.088985687,0.560308956,155.5005081,0,0,2.615132249,0,0,0
ENSG00000031691_CENPQ,0.999978037,0.939450722,0,0,0,1.556941553,15.84766318,21.17393991,0,0,2.429695439,0,0,2.179276874,0,4.270502417,0
ENSG00000106537_TSPAN13,0.999977609,2.348626805,0,0,99.07181675,0,3.773253138,0,4.118647583,1.120617912,0,0,0,1.743421499,0,2.329364955,0
ENSG00000164211_STARD4,0.99997726,11.29219768,16.89140421,24.23373076,2.107910995,0,2.263951883,3.528989984,3.088985687,0,0,0,6.580029535,1.743421499,1.834192623,0,0
ENSG00000113916_BCL6,0.999976451,100.9909526,52.70118113,53.66040382,56.91359685,111.0618308,76.21971339,61.75732473,116.3517942,335.6250646,568.5487327,258.1548088,269.7812109,244.5148653,625.4596844,193.3372912,550.0291736
ENSG00000107281_NPDC1,0.999975904,0,0,0,2.107910995,7.784707765,15.84766318,13.67483619,44.20338518,2.241235824,7.289086317,32.633565,19.7400886,5.666119873,5.502577869,43.86970665,50.57739527
ENSG00000196205_EEF1A1P5,0.999975655,50.13848504,39.91776643,0,137.4041782,0,5.67497272,32.72255963,44.4299108,223.658526,1678.846657,0,2129.231757,0,1047.122226,9.356282568,1693.394415
ENSG00000131508_UBE2D2,0.999975574,34.3463184,48.64724412,46.88072914,38.9963534,26.4680064,24.90347071,14.99820743,40.15681393,12.27636923,7.289086317,16.89952473,13.16005907,15.69079349,14.67354098,25.23866929,12.64434882
ENSG00000167384_ZNF180,0.999975491,0.469725361,0,0,5.269777487,0,0,0,2.059323791,10.08556121,0,19.81323589,13.16005907,5.666119873,3.668385246,2.329364955,0
ENSG00000104964_AES,0.999975392,19.91165806,17.09410106,30.48834126,15.58800181,11.41757139,6.791855648,7.732899303,10.98649243,5.059589872,0,4.079195625,0,6.101975248,9.170963114,4.119093695,25.28869764
ENSG00000134779_TPGS2,0.999975206,7.985331138,0,3.461961536,21.07910995,21.27820123,27.92207322,33.9665286,21.62289981,49.69380131,36.44543158,26.22340044,26.32011814,22.22862412,42.18643033,11.64682477,44.25522086
ENSG00000243771_CTD-3131K8.1,0.999975042,11.91223516,6.756561684,11.42447307,8.168155104,11.30858548,10.42927167,4.631799355,4.973266956,1.120617912,0,2.336796351,0,3.050987624,1.834192623,3.494047432,0
ENSG00000002834_LASP1,0.999974047,27.91577821,43.91765094,19.50238332,41.14642262,49.77542145,59.60985307,57.46077942,40.60986517,63.26448422,102.0472084,103.8854577,72.38032488,87.97740741,152.2379877,64.40305873,63.22174409
ENSG00000034677_RNF19A,0.999972498,21.13764125,35.80977692,58.85334612,25.29493194,65.91052575,82.25691841,114.6921745,118.411118,149.0421823,488.3687832,252.3273865,296.1013291,83.24837659,212.7663442,152.185177,259.2091508
ENSG00000231500_RPS18,0.99997223,2490.004744,2032.272406,1979.815024,3204.804639,1681.854974,1855.527417,1522.895927,1781.232707,1019.678254,230.8210667,1030.200855,322.4214472,1018.685541,161.4089508,1001.766692,290.8200228
ENSG00000104870_FCGRT,0.99997167,23.95599341,28.37755907,27.69569229,75.88479581,7.784707765,17.35696443,0,5.148309479,2.80154478,0,0,6.580029535,4.358553748,3.668385246,0,0
ENSG00000225302_RP11-539I5.1,0.999971619,0,0.675656168,0,0,11.41757139,1.018778347,0,0,17.36957764,2.429695439,0.815839125,13.16005907,12.63980587,9.170963114,17.44306124,12.64434882
ENSG00000115956_PLEK,0.999971471,0.939450722,20.26968505,9.80889102,151.7695916,11.93655191,0,5.734608725,1.029661896,4.482471648,2.429695439,4.661937857,6.580029535,1.743421499,0,0,0
ENSG00000065060_UHRF1BP1,0.999971283,0,0,1.153987179,0,3.632863624,0.475429895,0.441123748,3.088985687,12.32679703,0,27.97162714,0,3.940132589,5.502577869,1.164682477,63.22174409
ENSG00000130856_ZNF236,0.99997112,2.348626805,0,0,4.215821989,7.784707765,17.35696443,3.087866236,1.029661896,6.723707472,364.381425,0,0,1.743421499,14.67354098,2.329364955,6.322174409
